sp|B7GR20|APT_BIFLS	K00759
sp|B7GUP3|ARC_BIFLS	K13527
sp|B7GTP4|ARGB_BIFLS	K00930
sp|B7GTP1|ARGR_BIFLS	K03402
sp|B7GTN9|ARLY_BIFLS	K01755
sp|B7GS97|AROC_BIFLS	K01736
sp|B7GTP0|ASSY_BIFLS	K01940
sp|B7GTZ1|ATPA_BIFLS	K02111
sp|B7GTZ3|ATPB_BIFLS	K02112
sp|B7GTZ0|ATPD_BIFLS	K02113
sp|B7GTZ2|ATPG_BIFLS	K02115
sp|B7GTY8|ATPL_BIFLS	K02110
sp|B7GPW1|CARA_BIFLS	K01956
sp|B7GPW2|CARB_BIFLS	K01955
sp|B7GNF9|CH10_BIFLS	K04078
sp|B7GPR8|CH60_BIFLS	K04077
sp|B7GN19|COAD_BIFLS	K00954
sp|B7GUD5|COAX_BIFLS	K03525
sp|B7GUF6|DAPB_BIFLS	K00215
sp|B7GPC4|DCD_BIFLS	K01494
sp|B7GU04|DDL_BIFLS	K01921
sp|B7GSF9|DNAA_BIFLS	K02313
sp|B7GT47|DNAK_BIFLS	K04043
sp|B7GPV4|DNLJ_BIFLS	K01972
sp|B7GQ87|DTD_BIFLS	K07560
sp|B7GQI9|DUT_BIFLS	K01520
sp|B7GQ02|DXR_BIFLS	K00099
sp|B7GPC7|EBI1_BIFLS
sp|B7GPV9|EFP_BIFLS	K02356
sp|B7GQR9|EFTS_BIFLS	K02357
sp|B7GU46|EFTU_BIFLS	K02358
sp|B7GRN1|END4_BIFLS	K01151
sp|B7GTK2|ENO_BIFLS	K01689
sp|B7GUP8|FMT_BIFLS	K00604
sp|B7GT00|FOLD_BIFLS	K01491
sp|B7GTU6|GATA_BIFLS	K02433
sp|B7GTU7|GATB_BIFLS	K02434
sp|B7GS87|GLGC_BIFLS	K00975
sp|B7GUF2|GLMM_BIFLS	K03431
sp|B7GSX2|GLMU_BIFLS	K04042
sp|B7GRV5|GLNE_BIFLS	K00982
sp|B7GTL3|GLYA_BIFLS	K00600
sp|B7GU03|GPDA_BIFLS	K00057
sp|B7GUR7|GPMA_BIFLS	K01834
sp|B7GRM4|HIS1_BIFLS	K00765
sp|B7GRM5|HIS2_BIFLS	K01523
sp|B7GQS6|HIS3_BIFLS	K01496
sp|B7GQ51|HIS4_BIFLS	K01814
sp|B7GQ51|HIS4_BIFLS	K01817
sp|B7GQS5|HIS6_BIFLS	K02500
sp|B7GQ48|HIS7_BIFLS	K01693
sp|B7GQV7|HRCA_BIFLS	K03705
sp|B7GNA3|IF2_BIFLS	K02519
sp|B7GUP9|ILVD_BIFLS	K01687
sp|B7GMX1|ISPD_BIFLS	K00991
sp|B7GPE4|ISPE_BIFLS	K00919
sp|B7GT04|ISPF_BIFLS	K01770
sp|B7GT80|KTHY_BIFLS	K00943
sp|B7GRY7|LEPA_BIFLS	K03596
sp|B7GT76|LEU1_BIFLS	K01649
sp|B7GUI8|LEU3_BIFLS	K00052
sp|B7GNM7|LEUC_BIFLS	K01703
